time_iso8601,forks_cumulative
2015-03-20 00:00:00+00:00,1
2015-04-08 00:00:00+00:00,2
2015-04-22 00:00:00+00:00,3
2015-05-05 00:00:00+00:00,4
2015-06-04 00:00:00+00:00,5
2015-06-09 00:00:00+00:00,6
2016-05-30 00:00:00+00:00,7
2016-11-13 00:00:00+00:00,8
2016-12-01 00:00:00+00:00,9
2017-08-22 00:00:00+00:00,10
2019-02-01 00:00:00+00:00,12
2019-03-04 00:00:00+00:00,13
2019-09-24 00:00:00+00:00,14
2020-02-23 00:00:00+00:00,15
2020-09-10 00:00:00+00:00,16
2020-10-28 00:00:00+00:00,17
2020-11-18 00:00:00+00:00,18
2021-01-06 00:00:00+00:00,20
2021-02-25 00:00:00+00:00,21
2021-06-04 00:00:00+00:00,22
2021-11-23 00:00:00+00:00,23
2022-05-02 00:00:00+00:00,24
2022-06-16 00:00:00+00:00,25
2022-09-23 00:00:00+00:00,26
2023-02-15 00:00:00+00:00,27
2024-04-16 00:00:00+00:00,28
2024-08-13 00:00:00+00:00,29
2024-08-30 00:00:00+00:00,30
