time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-02 00:00:00+00:00,,,2,2
2023-09-03 00:00:00+00:00,2.0,2.0,1,1
2023-09-04 00:00:00+00:00,4.0,4.0,18,6
2023-09-05 00:00:00+00:00,,,11,7
2023-09-06 00:00:00+00:00,1.0,1.0,9,3
2023-09-07 00:00:00+00:00,2.0,2.0,29,8
2023-09-08 00:00:00+00:00,1.0,1.0,7,2
2023-09-09 00:00:00+00:00,1.0,1.0,3,1
2023-09-10 00:00:00+00:00,3.0,2.0,31,3
2023-09-11 00:00:00+00:00,11.0,6.0,26,8
2023-09-12 00:00:00+00:00,10.0,5.0,83,8
2023-09-13 00:00:00+00:00,6.0,4.0,26,6
2023-09-14 00:00:00+00:00,5.0,4.0,20,7
2023-09-15 00:00:00+00:00,11.0,4.0,68,4
