url_path,views_total,views_unique
/SwissTPH/openmalaria,147,42
/SwissTPH/openmalaria/wiki,60,32
/SwissTPH/openmalaria/wiki/UserGuide,17,11
/SwissTPH/openmalaria/releases,14,7
/SwissTPH/openmalaria/wiki/ModelInterventions,11,9
/SwissTPH/openmalaria/commits/main,11,1
/SwissTPH/openmalaria/blob/main/util/example/example_scenario.xml,9,4
/SwissTPH/openmalaria/releases/tag/schema-47.0,6,5
/SwissTPH/openmalaria/blob/79b213876d6711ef5c701c3adae0f063c8407ac8/util/example/example_scenario.xml,6,3
/SwissTPH/openmalaria/tree/main,6,2
