time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-19 00:00:00+00:00,0,0,19,10
2023-06-20 00:00:00+00:00,2,2,61,9
2023-06-21 00:00:00+00:00,3,2,22,7
2023-06-22 00:00:00+00:00,2,2,43,11
2023-06-23 00:00:00+00:00,2,2,48,11
2023-06-24 00:00:00+00:00,2,2,5,1
2023-06-25 00:00:00+00:00,1,1,9,1
2023-06-26 00:00:00+00:00,3,3,41,9
2023-06-27 00:00:00+00:00,1,1,8,1
2023-06-28 00:00:00+00:00,1,1,29,11
2023-06-29 00:00:00+00:00,13,4,23,4
2023-06-30 00:00:00+00:00,1,1,30,12
2023-07-01 00:00:00+00:00,1,1,5,4
2023-07-02 00:00:00+00:00,1,1,7,4
2023-07-03 00:00:00+00:00,20,8,40,2
2023-07-04 00:00:00+00:00,3,1,10,5
2023-07-05 00:00:00+00:00,0,0,33,5
2023-07-06 00:00:00+00:00,1,1,54,7
2023-07-07 00:00:00+00:00,1,1,22,5
2023-07-08 00:00:00+00:00,0,0,22,4
2023-07-09 00:00:00+00:00,2,2,4,3
2023-07-10 00:00:00+00:00,4,4,23,5
2023-07-11 00:00:00+00:00,1,1,7,6
2023-07-12 00:00:00+00:00,0,0,14,6
2023-07-13 00:00:00+00:00,1,1,53,8
2023-07-14 00:00:00+00:00,1,1,83,10
2023-07-15 00:00:00+00:00,0,0,35,4
2023-07-16 00:00:00+00:00,1,1,0,0
2023-07-17 00:00:00+00:00,2,2,18,5
2023-07-18 00:00:00+00:00,13,3,30,6
2023-07-19 00:00:00+00:00,1,1,23,8
2023-07-20 00:00:00+00:00,18,6,33,11
2023-07-21 00:00:00+00:00,0,0,6,3
2023-07-22 00:00:00+00:00,1,1,0,0
2023-07-23 00:00:00+00:00,3,3,2,1
2023-07-24 00:00:00+00:00,12,3,26,10
2023-07-25 00:00:00+00:00,0,0,9,4
2023-07-26 00:00:00+00:00,2,2,38,10
2023-07-27 00:00:00+00:00,1,1,31,8
2023-07-28 00:00:00+00:00,3,2,28,7
2023-07-29 00:00:00+00:00,2,2,8,5
2023-07-30 00:00:00+00:00,3,3,3,2
2023-07-31 00:00:00+00:00,3,2,23,8
2023-08-01 00:00:00+00:00,11,2,18,6
2023-08-02 00:00:00+00:00,2,2,17,3
2023-08-03 00:00:00+00:00,2,2,34,13
2023-08-04 00:00:00+00:00,3,2,27,7
2023-08-05 00:00:00+00:00,4,4,1,1
2023-08-06 00:00:00+00:00,1,1,5,1
2023-08-07 00:00:00+00:00,28,12,60,15
2023-08-08 00:00:00+00:00,25,7,102,20
2023-08-09 00:00:00+00:00,12,6,32,17
2023-08-10 00:00:00+00:00,6,4,13,8
2023-08-11 00:00:00+00:00,3,2,18,6
2023-08-12 00:00:00+00:00,1,1,5,3
2023-08-13 00:00:00+00:00,3,3,1,1
2023-08-14 00:00:00+00:00,8,8,13,5
2023-08-15 00:00:00+00:00,3,3,27,9
2023-08-16 00:00:00+00:00,1,1,35,5
2023-08-17 00:00:00+00:00,2,2,36,7
2023-08-18 00:00:00+00:00,19,7,34,10
2023-08-19 00:00:00+00:00,0,0,13,4
2023-08-20 00:00:00+00:00,7,7,8,4
2023-08-21 00:00:00+00:00,16,16,36,8
2023-08-22 00:00:00+00:00,2,2,58,10
2023-08-23 00:00:00+00:00,4,4,36,7
2023-08-24 00:00:00+00:00,2,2,18,5
2023-08-25 00:00:00+00:00,1,1,11,6
2023-08-26 00:00:00+00:00,1,1,3,2
2023-08-27 00:00:00+00:00,3,3,11,3
2023-08-28 00:00:00+00:00,4,4,45,7
2023-08-29 00:00:00+00:00,43,2,22,8
2023-08-30 00:00:00+00:00,0,0,27,6
2023-08-31 00:00:00+00:00,1,1,28,7
2023-09-01 00:00:00+00:00,1,1,2,2
2023-09-02 00:00:00+00:00,0,0,2,2
2023-09-03 00:00:00+00:00,2,2,1,1
2023-09-04 00:00:00+00:00,4,4,18,6
2023-09-05 00:00:00+00:00,0,0,11,7
2023-09-06 00:00:00+00:00,1,1,9,3
2023-09-07 00:00:00+00:00,2,2,29,8
2023-09-08 00:00:00+00:00,1,1,7,2
2023-09-09 00:00:00+00:00,1,1,3,1
2023-09-10 00:00:00+00:00,3,2,31,3
2023-09-11 00:00:00+00:00,11,6,26,8
2023-09-12 00:00:00+00:00,10,5,83,8
2023-09-13 00:00:00+00:00,6,4,26,6
2023-09-14 00:00:00+00:00,5,4,20,7
2023-09-15 00:00:00+00:00,11,4,68,4
2023-09-16 00:00:00+00:00,2,2,4,2
2023-09-17 00:00:00+00:00,3,3,1,1
2023-09-18 00:00:00+00:00,2,2,23,11
2023-09-19 00:00:00+00:00,4,3,49,9
2023-09-20 00:00:00+00:00,1,1,20,6
2023-09-21 00:00:00+00:00,1,1,50,9
2023-09-22 00:00:00+00:00,2,2,18,5
2023-09-23 00:00:00+00:00,1,1,16,6
2023-09-24 00:00:00+00:00,0,0,13,3
2023-09-25 00:00:00+00:00,2,2,22,7
2023-09-26 00:00:00+00:00,2,2,12,7
2023-09-27 00:00:00+00:00,0,0,48,7
2023-09-28 00:00:00+00:00,2,2,59,17
2023-09-29 00:00:00+00:00,2,2,22,7
2023-10-01 00:00:00+00:00,2,2,1,1
2023-10-02 00:00:00+00:00,1,1,7,4
2023-10-03 00:00:00+00:00,0,0,57,9
2023-10-04 00:00:00+00:00,12,2,73,13
2023-10-05 00:00:00+00:00,1,1,68,17
2023-10-06 00:00:00+00:00,12,1,15,3
2023-10-07 00:00:00+00:00,1,1,13,6
2023-10-08 00:00:00+00:00,2,2,33,6
2023-10-09 00:00:00+00:00,1,1,58,7
2023-10-10 00:00:00+00:00,4,2,68,14
2023-10-11 00:00:00+00:00,3,3,102,17
2023-10-12 00:00:00+00:00,2,2,84,16
2023-10-13 00:00:00+00:00,1,1,47,9
2023-10-14 00:00:00+00:00,1,1,5,3
2023-10-15 00:00:00+00:00,1,1,5,2
2023-10-16 00:00:00+00:00,2,2,65,11
2023-10-17 00:00:00+00:00,2,2,34,9
2023-10-18 00:00:00+00:00,3,3,28,9
2023-10-19 00:00:00+00:00,0,0,22,7
2023-10-20 00:00:00+00:00,1,1,41,8
2023-10-21 00:00:00+00:00,1,1,6,5
2023-10-22 00:00:00+00:00,1,1,8,2
